,precision,recall,f1-score,support
0,0.9387254901960784,0.9011764705882352,0.9195678271308524,425.0
1,0.8578680203045685,0.8918205804749341,0.8745148771021992,379.0
2,0.972636815920398,0.9848866498740554,0.9787234042553191,397.0
3,0.9646464646464646,0.9573934837092731,0.9610062893081761,399.0
accuracy,0.93375,0.93375,0.93375,0.93375
macro avg,0.9334691977668774,0.9338192961616245,0.9334530994491368,1600.0
weighted avg,0.9344506677144389,0.93375,0.9339076036722936,1600.0
